,transfer time,request number,byte count,completion status
2017-6-2 12:20,2278,671,470029131,0
2017-6-2 12:30,2227,612,201684060,0
2017-6-2 12:40,2279,677,89570544,0
2017-6-2 12:50,2300,569,169985060,0
2017-6-2 13:00,1508,613,764246003,0
2017-6-2 13:10,1930,684,1889160528,0
2017-6-2 13:20,6095,548,245937872,0
2017-6-2 13:30,1513,590,170798516,0
2017-6-2 13:40,1491,767,131703208,0
2017-6-2 13:50,1448,663,164747240,0
2017-6-2 14:00,2658,1546,1053638542,0
2017-6-2 14:10,1946,1036,460595524,0
2017-6-2 14:20,1696,766,234837028,0
2017-6-2 14:30,1061,497,127937004,1
2017-6-2 14:40,1445,628,258003236,0
2017-6-2 14:50,1644,632,279358236,0
2017-6-2 15:00,1997,844,844205989,1
2017-6-2 15:10,2172,1070,313371804,0
2017-6-2 15:20,1907,1064,367283128,0
2017-6-2 15:30,2300,850,489667750,0
2017-6-2 15:40,2033,808,631525756,0
2017-6-2 15:50,1828,559,590106476,0
2017-6-2 16:00,3328,1412,1127902313,0
2017-6-2 16:10,3808,1452,1200882420,0
2017-6-2 16:20,5180,3731,765549893,0
2017-6-2 16:30,4715,2482,1014883852,0
2017-6-2 16:40,3076,1039,1169090613,0
2017-6-2 16:50,3628,1190,1220035176,1
2017-6-2 17:00,3752,1021,2359854462,0
2017-6-2 17:10,2761,1317,512717988,0
2017-6-2 17:20,5211,3859,772808588,0
2017-6-2 17:30,10889,3436,1407225032,0
2017-6-2 17:40,11680,8924,2225950448,0
2017-6-2 17:50,11056,8859,1853058485,0
2017-6-2 18:00,8800,4676,2764287717,0
2017-6-2 18:10,3587,1338,4191461739,0
2017-6-2 18:20,2700,855,1962554760,0
2017-6-2 18:30,2517,815,1477149456,0
2017-6-2 18:40,2560,790,1302795872,0
2017-6-2 18:50,2529,762,1322391672,0
2017-6-2 19:00,3310,784,1367248772,0
2017-6-2 19:10,2626,794,1470720006,0
2017-6-2 19:20,2664,906,1083281880,0
2017-6-2 19:30,2520,887,1185658961,1
2017-6-2 19:40,2598,883,935514520,0
2017-6-2 19:50,2526,861,924237334,0
2017-6-2 20:00,6468,1758,1382506516,0
2017-6-2 20:10,2784,1157,1254522640,0
2017-6-2 20:20,2495,955,1117676076,1
2017-6-2 20:30,3739,898,1529985150,0
2017-6-2 20:40,2455,919,1189438068,0
2017-6-2 20:50,2907,825,1271293492,1
2017-6-2 21:00,2743,883,1492226128,1
2017-6-2 21:10,2430,878,1317278244,0
2017-6-2 21:20,2833,900,1210905996,0
2017-6-2 21:30,2867,976,1674921644,0
2017-6-2 21:40,2529,974,1334757432,0
2017-6-2 21:50,15713,891,3794757986,1
2017-6-2 22:00,2495,902,1299009189,1
2017-6-2 22:10,2313,970,1380754012,1
2017-6-2 22:20,4259,1027,1591274172,0
2017-6-2 22:30,2384,983,1266723578,1
2017-6-2 22:40,2426,1072,1241675784,0
2017-6-2 22:50,2912,1584,1009182508,1
2017-6-2 23:00,2790,1586,831826040,1
2017-6-2 23:10,2219,1190,360970012,1
2017-6-2 23:20,2176,1064,288146464,1
2017-6-2 23:30,2101,838,572552988,1
2017-6-2 23:40,2033,875,329663364,0
2017-6-2 23:50,1960,819,392508972,1
2017-6-3 0:00,2605,814,741566090,1
2017-6-3 0:10,2472,842,670997920,1
2017-6-3 0:20,3152,975,363008768,1
2017-6-3 0:30,2054,910,689856796,0
2017-6-3 0:40,2582,929,532209696,0
2017-6-3 0:50,1997,889,395056168,1
2017-6-3 1:00,2914,1078,2624659060,0
2017-6-3 1:10,11470,1384,4937343676,0
2017-6-3 1:20,4270,1223,3446376436,1
2017-6-3 1:30,4767,1271,4064715108,1
2017-6-3 1:40,6008,913,2786984932,0
2017-6-3 1:50,9220,1281,4679989202,0
2017-6-3 2:00,5159,1734,5089459656,0
2017-6-3 2:10,5250,2166,5693100743,0
2017-6-3 2:20,2428,905,863867396,0
2017-6-3 2:30,2187,900,519541268,1
2017-6-3 2:40,2168,873,382455704,0
2017-6-3 2:50,1984,904,797622801,1
2017-6-3 3:00,2152,882,704089010,1
2017-6-3 3:10,1987,674,442012004,0
2017-6-3 3:20,2034,764,1572147904,0
2017-6-3 3:30,2000,793,1298009404,0
2017-6-3 3:40,2272,911,602225676,0
2017-6-3 3:50,2054,1451,438821264,0
2017-6-3 4:00,1962,1251,596591216,1
2017-6-3 4:10,1877,1080,591874768,1
2017-6-3 4:20,3607,1395,871021476,0
2017-6-3 4:30,2776,2040,582473516,0
2017-6-3 4:40,1942,1276,915957298,0
2017-6-3 4:50,2338,1567,1066217906,0
2017-6-3 5:00,10462,3499,3188980842,0
2017-6-3 5:10,2738,1771,826733488,1
2017-6-3 5:20,1661,1210,620588516,0
2017-6-3 5:30,1620,1198,671887292,0
2017-6-3 5:40,2333,1271,602967644,0
2017-6-3 5:50,2049,1441,332628892,0
2017-6-3 6:00,1900,1231,612859598,0
2017-6-3 6:10,2235,1135,1472690615,0
2017-6-3 6:20,1814,956,1801679360,0
2017-6-3 6:30,2089,1170,2234502852,0
2017-6-3 6:40,1836,1200,2234827712,0
2017-6-3 6:50,2079,1269,3481287990,0
2017-6-3 7:00,2495,1603,2395087392,0
2017-6-3 7:10,2634,1182,3684887448,0
2017-6-3 7:20,1710,911,2176146752,0
2017-6-3 7:30,2134,895,2582021124,1
2017-6-3 7:40,1607,716,1526704804,0
2017-6-3 7:50,2240,1101,2408729940,0
2017-6-3 8:00,1812,849,1706111832,0
2017-6-3 8:10,1745,760,1390980262,1
2017-6-3 8:20,1568,836,1119415856,0
2017-6-3 8:30,1296,994,956271308,0
2017-6-3 8:40,1489,1002,1462034251,0
2017-6-3 8:50,1676,1323,203368932,0
2017-6-3 9:00,2186,1681,1788652993,0
2017-6-3 9:10,1792,1540,303748108,0
2017-6-3 9:20,1869,1522,115473016,0
2017-6-3 9:30,1868,1208,304959560,1
2017-6-3 9:40,1740,1111,195576284,0
2017-6-3 9:50,2300,1647,420730796,0
2017-6-3 10:00,2551,1750,501522435,0
2017-6-3 10:10,2121,1455,295927021,0
2017-6-3 10:20,1921,1233,135721956,0
2017-6-3 10:30,2534,1874,180248488,0
2017-6-3 10:40,1586,1051,92716476,0
2017-6-3 10:50,1826,1135,337686928,0
2017-6-3 11:00,2133,1380,1057521040,0
2017-6-3 11:10,1912,1203,108709176,0
2017-6-3 11:20,2047,1409,126560720,0
2017-6-3 11:30,2123,1414,317249196,0
2017-6-3 11:40,2353,1604,223129720,0
2017-6-3 11:50,2358,1744,169150080,1
2017-6-3 12:00,3547,2398,911409338,0
2017-6-3 12:10,2576,1848,471142996,0
2017-6-3 12:20,2527,1561,388958600,0
2017-6-3 12:30,2497,1795,180360972,0
2017-6-3 12:40,2065,1448,324722862,0
2017-6-3 12:50,1951,1124,822501972,0
2017-6-3 13:00,1871,1086,925189775,0
2017-6-3 13:10,2622,1228,1435020916,0
2017-6-3 13:20,1728,1079,125609072,0
2017-6-3 13:30,2374,1344,266039488,0
2017-6-3 13:40,2025,1085,137440868,0
2017-6-3 13:50,2963,1638,254447917,0
2017-6-3 14:00,4498,2816,1493576310,0
2017-6-3 14:10,5338,1731,897589274,0
2017-6-3 14:20,4146,2777,485116616,0
2017-6-3 14:30,1770,1155,105556620,0
2017-6-3 14:40,1953,1176,173579480,0
2017-6-3 14:50,4436,1272,821279403,0
2017-6-3 15:00,7936,1599,1219555613,0
2017-6-3 15:10,2208,1479,411304225,0
2017-6-3 15:20,4372,3532,604568760,0
